keys,en,es,zh,it,pl,pt,es_SV,fr,nb,ru
PRONOUN1,they/them,elle/-e,ta,ləi,ono/jeno,elu/delu,elle,iel,de/dem,они/их
PRONOUN2,she/her,ella/-a,她,lei,ona/jej,ela/dela,ella,elle,hun/henne,она/ее
PRONOUN3,he/him,él/-o,他,lui,on/jego,ele/dele,él,il,han/ham,он/его
PRONOUN4,custom,personalizar,自定义,personalizzati,onx/jex,customizado,personalizado,personnalisé,egne,кастом
ok,ok,listo,好,ok,ok,ok,ok,ok,ok,ок
skip,skip,saltar,跳过,salta,pomiń,pular,saltar,passer,hopp over,пропустить
history,history,historial,历史,storia,historia,história,historial,historique,logg,история
menu,menu,menú,菜单,menu,menu,menu,menú,menu,meny,меню
to do,to do,tareas,待办,da fare,do zrobienia,tarefas,tareas,tâches,å gjøre,задачи
items,items,objetos,物品,oggetti,przedmioty,itens,objetos,inventaire,varer,предметы
save,save,guardar,保存,salva,zapisz,salvar,guardar,sauvegarder,lagre,сохранить
load,load,cargar,读取,carica,załaduj,carregar,cargar,charger,last inn,загрузить
options,options,opciones,选项,opzioni,opcje,opções,ajustes,options,innstillinger,опции
exit to main menu,exit to main menu,volver al menú principal,回到主菜单,vai al menu principale,wyjdź do menu głównego,sair pro menu,ir al menú principal,revenir au menu principal,gå til hovedmeny,выйти в главное меню
back,back,cancelar,返回,indietro,wróć,voltar,atrás,retour,tilbake,назад
are you sure? unsaved progress will be lost.,are you sure? unsaved progress will be lost.,recuerda: todo el progreso no guardado se perderá.,你确定吗？未保存的进度将会遗失,confermi? i tuoi progressi andranno persi.,na pewno? niezapisane zmiany będą stracone.,tem certeza? o progresso não salvo será perdido.,¿estás seguro? el progreso no guardado se perderá.,êtes-vous sûr·e ? toute progression non sauvegardée sera perdue.,er du sikker? ulagret fremdrift vil bli tapt,вы уверены? несохраненный прогресс будет потерян.
yes,yes,aceptar,是,sì,tak,sim,sí,oui,ja,да
no,no,cancelar,否,no,nie,não,no,non,nei,нет
game saved.,game saved.,partida guardada.,游戏已保存,progressi salvati.,gra zapisana.,jogo salvo.,juego guardado.,partie sauvegardée.,spill lagret.,игра сохранена.
SAVING_WAITING,saving…\ndon't exit the game yet!,guardando…\n¡no cierres el juego todavía!,正在保存…\n先别退出游戏！,salvataggio…\nnon uscire dal gioco!,zapisywanie…\nnie wychodź jeszcze z gry!,salvando…\nnão saia do jogo ainda!,guardando…\n¡no salgas del juego todavía!,sauvegarde…\nne quittez pas le jeu tout de suite !,lagrer…\nikke gå ut av spillet ennå!,сохранение…\nне выходите пока из игры!
game loaded.,game loaded.,partida cargada.,已加载,partita caricata.,gra załadowana.,jogo carregado.,juego cargado.,partie chargée.,spillet lastet inn,игра загружена.
continue,continue,continuar,继续,continua,kontynuuj,continuar,continuar,continuer,fortsett,продолжить
delete data,delete data,eliminar datos,删除进度,cancella dati,usuń dane,deletar dados,borrar datos,supprimer les données,slett data,удалить данные
